guid,front,back,tags
"KMg[i,(.Tr",<p>06 Control Structures &gt; Review Questions &gt; What does it mean that we are using a stack for memory purposes?</p>,<p>We use them to push activation records or frames.</p>,"obsidian, programming-languages"
mk1lWfT6sS,"<p>06 Control Structures &gt; Review Questions &gt; Why do we need a stack for dynamic memory, instead of just dumping everything in memory?</p>","<p>We need it for recursion. With recursion we cannot allocate all possible blocks, but we can with a stack.</p>","obsidian, programming-languages"
K?J]*4_)k],<p>06 Control Structures &gt; Review Questions &gt; How do we implement static scoping?</p>,"<p>We are using the static chain pointer. The compiler adds this pointer to the previous ""father"" block, which contains the known local variable.</p>","obsidian, programming-languages"
uw4:ch>+WS,<p>06 Control Structures &gt; Expressions &gt; What is an expression?</p>,"<p>A syntactic entity whose evaluation yields a value or does not end, in which case the expression is undefined. There are three main notations, infix, prefix and postfix.</p>","obsidian, programming-languages"
o/f&X7.TAt,<p>06 Control Structures &gt; Commands &gt; What are side effects?</p>,<p>Changing the state of computation without returning a value</p>,"obsidian, programming-languages"
e0i&C~Ug?7,<p>06 Control Structures &gt; Commands &gt; When was if then else introduced?</p>,<p>In ALGOL 60</p>,"obsidian, programming-languages"
N62vDD(b&o,<p>07 Control Abstraction &gt; Control Abstraction &gt; What are the two main ways that parameters are passed?</p>,<p>By value and by reference</p>,"obsidian, programming-languages"
z<.>+<Ad3*,<p>Chapter 1 &gt; Operating-system operations &gt; Does the bootstrap program tend to be simple or complex?</p>,<p>Simple</p>,"obsidian, operating-systems"
p?y9ao4NuI,<p>Chapter 1 &gt; Operating-system operations &gt; Where is the bootstrap program usually stored?</p>,<p>In the computer hardware in firmware</p>,"obsidian, operating-systems"
s!TA![oKDh,<p>Chapter 1 &gt; Operating-system operations &gt; What loads the kernel into memory?</p>,<p>The bootstrap program</p>,"obsidian, operating-systems"
fGgk2;MExY,"<p>Chapter 1 &gt; Operating-system operations &gt; Traps (or exceptions) are another form of interrupts, and is software generated. Why are they caused?</p>",<p>Because of errors or by a specific request from a user program that an operating-system service be performed by executing a special operation called a system call.</p>,"obsidian, operating-systems"
B}Gcw]wFGd,<p>Chapter 1 &gt; Operating-system operations &gt; Multiprogramming and Multitasking &gt; What does multiprogramming do?</p>,"<p>Increases CPU utilization, as well as keeping users satisfied by organizing programs so that the CPU always has one to execute.</p>","obsidian, operating-systems"
H5pFm2LNrD,<p>Chapter 1 &gt; Operating-system operations &gt; Multiprogramming and Multitasking &gt; What are programs in execution called in a multiprogrammed system?</p>,<p>A process.</p>,"obsidian, operating-systems"
MmYcvk^:Vq,<p>Week 6 &gt; What is the main difficulty that a programmer must overcome in writing an operating system for a real-time environment?</p>,<p>Keeping the operating system within the fixed time constraints of a real-time system.</p>,"obsidian, operating-systems, tutorial"
A)NbM@v;]>,<p>Week 6 &gt; How does the distinction between kernel mode and user mode function as a rudimentary form of protection (security)?</p>,"<p>It provides a form of security, in that certain instructions can not be executed unless in kernel mode. Similarly, hardware devices can only be accessed when the program is in kernel mode.</p>","obsidian, operating-systems, tutorial"
kjxx9aU4QE,<p>Week 6 &gt; Some CPUs provide for more than two modes of operation. What are two possible uses of these multiple modes?</p>,"<p>Different kinds of user modes. Specific kernel modes, for example if you want a mode to only be able to use USB</p>","obsidian, operating-systems, tutorial"
K/9FOmMVww,"<p>Week 6 &gt; Give two reasons why caches are useful. What problems do they solve? What problems do they cause? If a cache can be made as large as the device for which it is caching (for instance, a cache as large as a disk), why not make it that large and eliminate the device?</p>","<p>Caches are useful when two or more components need to exchange data, and the components perform transfers at differing speeds.</p>","obsidian, operating-systems, tutorial"
"tONSMx~f,8",<p>Week 6 &gt; How do clustered systems differ from multiprocessor systems? What is required for two machines belonging to a cluster to cooperate to provide a highly available service?</p>,"<p>Clustered systems use messages to communicate, while processors in a multiprocessor system could communicate using shared memory</p>","obsidian, operating-systems, tutorial"
G91sB1eQLB,<p>07 Control Abstraction &gt; Review from last &gt; Why do we care about expressions?</p>,<p>Because we want to compute stuff</p>,"obsidian, programming-languages"
mSg<uzcz4$,<p>06 Control Structures &gt; Commands &gt; Why do we not use goto anymore?</p>,<p>It makes the code harder to read</p>,"obsidian, programming-languages"
lsF1]H]D3n,<p>08 Types &gt; Review &gt; How many ways of passing parameters are there?</p>,"<p>6, Call by value, reference, result, result-value, constant and name</p>","obsidian, programming-languages"
gZezb)l[s},<p>08 Types &gt; Review &gt; What are the pros of call by value?</p>,<p>You don't have to worry about side-effects.</p>,"obsidian, programming-languages"
eDSq5#Z=9J,<p>08 Types &gt; Review &gt; What are the pro of call by reference?</p>,<p>You don't have to copy anything</p>,"obsidian, programming-languages"
nvR]mc648#,<p>08 Types &gt; Review &gt; What is the particularity of call by constant?</p>,"<p>It's read only, otherwise it works like call by reference.</p>","obsidian, programming-languages"
euWn7}K~M!,<p>08 Types &gt; Finally and Return in Java &gt; What is the idea of <em>finally</em>?</p>,<p>To have a block that will be executed no matter what in a try block.</p>,"obsidian, programming-languages"
lc-E&0l}7N,<p>08 Types &gt; Review &gt; What is the difference between an exception and an error?</p>,"<p>An Error ""indicates serious problems that a reasonable application should not try to catch."" An Exception ""indicates conditions that a reasonable application might want to catch.""</p>","obsidian, programming-languages"
eLHy)?3*^),<p>08 Types &gt; Types &gt; What is a type?</p>,<p>A collection of values (homogeneous and effectively represented (can be visualized)) equipped with a set of operations to manipulate these values.</p>,"obsidian, programming-languages"
oW#bS=CyUn,<p>08 Types &gt; Types &gt; What defines what is a type and what is not a type?</p>,<p>The programming language.</p>,"obsidian, programming-languages"
tQb}c*?-$F,<p>08 Types &gt; Types &gt; How many categories of types are there?</p>,"<p>Two, scalar types (or simple types) and composite types.</p>","obsidian, programming-languages"
[E9BJYxzh,<p>08 Types &gt; Types &gt; What is a scalar type?</p>,"<p>A type where values are not composed of aggregations of other values (e.g. boolean, chars).</p>","obsidian, programming-languages"
C9%[!&lv_s,<p>08 Types &gt; Types &gt; What are composite types?</p>,"<p>Types obtained by combining other types with appropriate constructors (e.g. string, pointer, struct).</p>","obsidian, programming-languages"
m.*ev.:/18,<p>08 Types &gt; Types &gt; When were enumerations introduced?</p>,<p>In Pascal</p>,"obsidian, programming-languages"
JRe=Kt?h+N,<p>08 Types &gt; Types &gt; Are enumerations ordered or unordered?</p>,<p>Ordered</p>,"obsidian, programming-languages"
Fa8<3?a?3Q,<p>08 Types &gt; Types &gt; When were intervals (subranges) introduced?</p>,<p>In Pascal</p>,"obsidian, programming-languages"
zALI(tIj2_,<p>08 Types &gt; Types &gt; <em>Type LessThan = 0..9</em> is an example of which type?</p>,<p>Intervals</p>,"obsidian, programming-languages"
QsK?(AnXeR,<p>08 Types &gt; Type equivalence &gt; When are two types equivalent?</p>,<p>If each object of type T1 is also an object of type T2 and vice versa. T1 is compatible with T2 if an object of T1 can appear where a T2 would be expected.</p>,"obsidian, programming-languages"
o!WoqA1X>B,<p>08 Types &gt; Type equivalence &gt; What is type equivalence by name?</p>,"<p>Two types are equivalent if they have the same name. Used in Pascal, Ada and Java</p>","obsidian, programming-languages"
BxSSFwaS9$,<p>07 Control Abstraction &gt; Review from last &gt; Can you do lazy evaluation if you evaluate right-to-left?</p>,<p>No</p>,"obsidian, programming-languages"
e5sr*_EwX1,<p>07 Control Abstraction &gt; Review from last &gt; Why do we care about tail recursion?</p>,<p>It's faster</p>,"obsidian, programming-languages"
OeZ6sdVOT),"<p>07 Control Abstraction &gt; Control Abstraction &gt; You can call by value and by reference, but what else?</p>","<p>Constant, Result and value-result</p>","obsidian, programming-languages"
uSUyt^2EO8,<p>07 Control Abstraction &gt; Control Abstraction &gt; What is call by result?</p>,"<p>Opposite of value. The value of the result is returned and modified, but is not a reference. foo(result y) {y + 1}, then y would be y + 1 from here on.</p>","obsidian, programming-languages"
FiDn%@wmg8,<p>07 Control Abstraction &gt; Control Abstraction &gt; What happens to the variable inside of a function using call by result after the function is done running?</p>,<p>It is destroyed (removed from the stack)</p>,"obsidian, programming-languages"
mZnKW/FceY,<p>07 Control Abstraction &gt; Control Abstraction &gt; What is call by value/result?</p>,"<p>Like call by reference, but it copies the variable from outside the function to the variable inside the function and then returns when done.</p>","obsidian, programming-languages"
dZX^i|pvHc,<p>07 Control Abstraction &gt; Control Abstraction &gt; What happens to the variable inside of a function using call by <strong>result/value</strong> after the function is done running?</p>,<p>It is destroyed (removed from the stack)</p>,"obsidian, programming-languages"
f42F+enXNc,<p>07 Control Abstraction &gt; Control Abstraction &gt; What is the difference between call by name and call by need?</p>,"<p>Call by name is evaluated every time it is used, while call by need is evaluated the first time it is used (Haskell has need)</p>","obsidian, programming-languages"
P^Aj]0qUQ],<p>07 Control Abstraction &gt; Control Abstraction &gt; What is call by name?</p>,<p>In call by name the variable is evaluated every time it is used.</p>,"obsidian, programming-languages"
E__XS7`nP%,<p>07 Control Abstraction &gt; Control Abstraction &gt; Is deep binding used with static or dynamic scope?</p>,<p>Static</p>,"obsidian, programming-languages"
O*8.f!-ud:,<p>07 Control Abstraction &gt; Control Abstraction &gt; What is the difference between deep binding and shallow binding?</p>,"<p>Deep binding binds the environment at the time a procedure is passed as an argument. Shallow binding binds the environment at the time a procedure is actually called. See more: <a href=""https://stackoverflow.com/questions/15550648/shallow-deep-binding-what-would-this-program-print"">https://stackoverflow.com/questions/15550648/shallow-deep-binding-what-would-this-program-print</a></p>","obsidian, programming-languages"
Af#xq$deBq,<p>07 Control Abstraction &gt; Control Abstraction &gt; What is an exception?</p>,"<p>An event which occurs during the execution of the program, that disrupts the normal flow of the programs instructions.</p>","obsidian, programming-languages"
N_.tC5caX%,<p>test</p>,<p>here!!!</p>,"obsidian, operating-systems"
