guid,front,back,tags
yzsS@`wtc}, What do many homes use to protect their networks from security breaches?,firewall,"CS::OSChapter01, CS::operating-systems"
G:>t&J>TyO, What is a network operating system?,an operating system that provides features such as file sharing across the network,"CS::OSChapter01, CS::operating-systems"
PnkA6X-PwF, What kind of tree does Linux use as part of its CPU-scheduling algorithm?,a balanced binary search tree,"CS::OSChapter01, CS::operating-systems"
w;/xFBNE+:, What is a balanced binary search tree known as?,red-black tree,"CS::OSChapter01, CS::operating-systems"
leu2I7v>FS, What is a bottleneck in a client-server system?,the server,"CS::OSChapter01, CS::operating-systems"
x<}q&?;&u., Embedded systems almost always run what type of operating-system?,real-time operating systems,"CS::OSChapter01, CS::operating-systems"
F3/&OM!.v^, What makes it possible to run many operating systems on top of one core system?,virtualization,"CS::OSChapter01, CS::operating-systems"
rt|GOi!Fx2, What is responsible for dynamically allocating and freeing memory space?,The operating system,"CS::OSChapter01, CS::operating-systems"
Q&5gd@4B)i, How do users interact with the touch screen?,by making gestures,"CS::OSChapter02, CS::operating-systems"
LZjGv]?!jc, What is ABI?,application binary interface,"CS::OSChapter02, CS::operating-systems"
NxW8{4?5F/, What is a loader?,Program that loads the executable file into memory,"CS::OSChapter02, CS::operating-systems"
pb%ePea01R, What is a primary benefit of a layered operating system?,efficiency,"CS::OSChapter02, CS::operating-systems"
b`lt!`+9yy, What is the main advantage of the microkernel approach to system design?,efficiency,"CS::OSChapter02, CS::operating-systems"
zl4~&!Zb4L, How many system calls do systems execute per second?,thousands,"CS::OSChapter02, CS::operating-systems"
d?G^d]kgVe,How do modern systems avoid linking libraries into executables?,"Using dynamically linked libraries (DLLs in windows), which are loaded as needed","CS::OSChapter02, CS::operating-systems"
k?.<I/ntv|,What are system calls?,Programming interface to the services provided by the OS,"CS::OSChapter02, CS::operating-systems"
c/d3H75.n%, How are packets of information in predefined formats moved between processes by the operating system?,message passing,"CS::OSChapter02, CS::operating-systems"
HD2]j2plO{,What does the CLI or command interpreter do?,Fetches a command from the user and executes it. Can be both built-in commands but also names of programs. ,"CS::OSChapter02, CS::operating-systems"
ygLYV]3V-A, What is the main reason for choosing a GUI interface?,personal preference,"CS::OSChapter02, CS::operating-systems"
oyWVdLTZ`d,What is tracing? ,"A method of collecting data for a specific event, such as steps involved in a system call invocation","CS::OSChapter02, CS::operating-systems"
Bts;8yoot},What are <i>shells</i>?,Flavours of the CLI,"CS::OSChapter02, CS::operating-systems"
E}-]j;lZA>, What was the name of the interface that appeared with macOS in the 1980s?,Aqua,"CS::OSChapter02, CS::operating-systems"
IBMF2Czr)=, The Linux kernel is monolithic in that it runs entirely in what mode?,kernel,"CS::OSChapter02, CS::operating-systems"
J*^^k}{Ss1,"What is an approach to building OS that is similar to modules but more flexible? (Linux, Solaris etc does this)",Implementing loadbale kernel modules,"CS::OSChapter02, CS::operating-systems"
w{`vnOTevy, What method of passing parameters is used if there are more than five parameters?,the block method,"CS::OSChapter02, CS::operating-systems"
&<K{/9|7X,What are the three main methods of passing parameters in an operating system?,"1) Pass the parameters in registers (this may prove insufficient when there are more parameters than registers).<br/> (2) Store the parameters in a block, or table, in memory, and pass the address of block as a parameter in a register. This approach is used by Linux and Solaris.<br/> (3) Push the parameters onto a stack; to be popped off by the OS.","CS::OSChapter02, CS::operating-systems"
"fT[M,+II$U", How does a programmer access a (system) API?,via a library of code provided by the operating system,"CS::OSChapter02, CS::operating-systems"
izt/vp0/nO, What is UNIX structured similarly to?,monolithic structure,"CS::OSChapter02, CS::operating-systems"
my{w;zMB8*, What does vmstat report?,memory-usage statistics,"CS::OSChapter02, CS::operating-systems"
HRk>3oeYt0, GRUB is an open-source bootstrap program for what two systems?,Linux and UNIX,"CS::OSChapter02, CS::operating-systems"
"j,d(@<5)H(",What is CLI an abbreviation for?,Command line interface,"CS::OSChapter02, CS::operating-systems"
oQoB$X>G_e, What does an API specify?,a set of functions that are available to an application programmer,"CS::OSChapter02, CS::operating-systems"
"Li,LhE*R)A",How are system calls usually accessed by programs?,Via a higher-level API rather than a direct system call use. ,"CS::OSChapter02, CS::operating-systems"
L~eFEiBA*g,What is a hybrid kernel?,A kernel architecture based on combining aspects of microkernel and monolithic kernel architectures,"CS::OSChapter02, CS::operating-systems"
jY)C<>Vk3w, What was Microsoft's first version of Windows based on?,MS-DOS operating system,"CS::OSChapter02, CS::operating-systems"
y(c(B>ByxP, Operating systems have CPU-scheduling routines that take into account what?,the speed of the CPU,"CS::OSChapter02, CS::operating-systems"
O[`s|_5I)M, What does the compiler generate in a machine- and operating-system specific language?,binaries,"CS::OSChapter02, CS::operating-systems"
tt^}]<[uQ7, When did graphic user interfaces first appear?,early 1970s,"CS::OSChapter02, CS::operating-systems"
D4w*[Wq/R4,What is the name of the file that OS’s generate that contain error information?,Log files,"CS::OSChapter02, CS::operating-systems"
sLKU>V(<(^," What allows maximum speed and convenience of communication, message passing or shared memory?",Shared memory,"CS::OSChapter02, CS::operating-systems"
Hf1a3>zSG/, What is the Linux operating system based on?,UNIX,"CS::OSChapter02, CS::operating-systems"
"b`?,u.ghzc", What has replaced the BIOS-based boot process?,UEFI (Unified Extensible Firmware Interface).,"CS::OSChapter02, CS::operating-systems"
m`SQso_f#0, What is the name of the small boot loader located in nonvolatile firmware?,BIOS,"CS::OSChapter02, CS::operating-systems"
NX+Q4Dnl+6,Do Microkernels use message passing or shared memory for communication?,message passing,"CS::OSChapter02, CS::operating-systems"
J~xYr-Xvmt, AOT compilation allows more efficient what?,application execution,"CS::OSChapter02, CS::operating-systems"
J*K)2PuM#u,"Which is easier to implement, message passing or shared memory?",message passing,"CS::OSChapter02, CS::operating-systems"
CgP&T#)0)_, What was the original UNIX system's structure?,monolithic,"CS::OSChapter02, CS::operating-systems"
A<cl>D.M%Q, What is a layered approach?,the operating system is broken into a number of layers (levels).,"CS::OSChapter02, CS::operating-systems"
IEJ1ySrSPh, How can a system be made modular?,Using the layered approach,"CS::OSChapter02, CS::operating-systems"
uN}5!r]Nbx, What are three ways to interact with an operating system?,"(1) command interpreters, (2) graphical user interfaces, and (3) touchscreen interfaces","CS::OSChapter02, CS::operating-systems"
Gaaw7kr(H4, What language are most Android system libraries written in?,Java,"CS::OSChapter02, CS::operating-systems"
PGySl~%sy`, What does macOS refer to as kernel extensions?,kexts,"CS::OSChapter02, CS::operating-systems"
Jeb5-<`d^j,What’s so special about operating systems in the 1940s-1950s?,They didn’t exist. People interacted with the hardware directly.,"CS::OSChapter02, CS::operating-systems"
q0r9as5vQ],What is a problem with passing system call parameters in registers?,In some cases there may be more parameters than registers,"CS::OSChapter02, CS::operating-systems"
"KOkN~qcB?,", What does glibc stand for?,GNU C library,"CS::OSChapter02, CS::operating-systems"
j!xf0x)d3e,What is program execution?,The process of loading a program into memory and then running that program; details of program execution are handled by the OS,"CS::OSChapter02, CS::operating-systems"
OHKNu7[E/@,What is Instruction Set Architecture? (ISA),Defines the set of machine language instruction that a computer can follow. The interface between the hardware and the software.,"CS::OSChapter02, CS::operating-systems"
uR<<Az5/gW, What language is the kernel of Android written mostly in?,C,"CS::OSChapter02, CS::operating-systems"
emU?_s503W,"What is the bottom layer of a layered operating system, what is the top?","The bottom is the hardware, the top is the user interface","CS::OSChapter02, CS::operating-systems"
hxl}<cJL5d,What does languages like Python and Ruby do to be able to execute on multiple different systems? What does Java do?,"Python and Ruby are interpreted languages, meaning they’re interpreted to native code, while Java uses a virtual machine.","CS::OSChapter02, CS::operating-systems"
J~Aa9jQUhZ,How can you use stacks to pass system call parameters?,"By pushing the parameters to a stack, which the OS will then pop when it needs them","CS::OSChapter02, CS::operating-systems"
fK|TWA6U0], What languages are often used for higher level routines?,C and C++,"CS::OSChapter02, CS::operating-systems"
Kax<!^{x)9,What is Applicatin Binary Interface? (ABI),Defines a standard for binary portability across program. Defines system call interface to the OS and the hardware resources and sertvices available in the system through the user ISA.,"CS::OSChapter02, CS::operating-systems"
"sAX,SApy]=",What are flavors of the command-line interface called?,Shells,"CS::OSChapter02, CS::operating-systems"
vMW>5avrFE,What is the purpose of the bootstrap loader?,"It locates the kernel, loads it into memory, and starts it","CS::OSChapter02, CS::operating-systems"
J6Xo{@=t7[,Where is the bootstrap loader stored?,In ROM or EEPROM,"CS::OSChapter02, CS::operating-systems"
f6bV:jK}Ut,"What is an example of a common bootstrap loader that allows selection of kernel from multiple disks, versions, kernel options?",GRUB,"CS::OSChapter02, CS::operating-systems"
bkC=%&+9G/,What method does Linux and Solaris use to pass system call parameters to the OS?,"The parameters are stored in a block, or table, in memory, and address of block passed as a parameter in a register","CS::OSChapter02, CS::operating-systems"
m-1rUp+koj,What does tracing do? ,"Collects data for a specific event, such as steps involved in a system call invocation","CS::OSChapter02, CS::operating-systems"
w}_@:>S||$, Ordinary pipes on Windows systems are termed what?,anonymous pipes,"CS::OSChapter03, CS::operating-systems"
FTIt+s|!O-,What is PCB an abbreviation of?,Process Control Block,"CS::OSChapter03, CS::operating-systems"
ww[#0:W7_E, What character can be used to construct a pipe on the command line?,|,"CS::OSChapter03, CS::operating-systems"
n&dY7krIOH,What must the system do when the CPU switches form one process to another? (In relation to states),"When CPU switches to another process, the system must save the state of the old process and load the saved state for the new process via a context switch","CS::OSChapter03, CS::operating-systems"
wXR:8]@=-), What allows two processes on different machines to communicate over a network?,Sockets,"CS::OSChapter03, CS::operating-systems"
JYjL3~s}b),What are the process states?,New → ready → running/waiting → terminated,"CS::OSChapter03, CS::operating-systems"
"H(FMO,CkLO",What is cascading termination?,"If a parent process is terminated, all related processes are terminated abnormally.","CS::OSChapter03, CS::operating-systems"
bTy;b[/p]C,When does a context switch occur?,When the CPU switches from one process to another,"CS::OSChapter03, CS::operating-systems"
O]R~@+b]y*,What is a process?,A program in execution.,"CS::OSChapter03, CS::operating-systems"
hTI>`/*4uu,"Which is invoked more often, short-term scheduler or long-term, and what does this mean?","Short-term. This means that short-term must be fast, while the long-term may be slow.","CS::OSChapter03, CS::operating-systems"
F8}3~e*ufU,What is the system call to create a new process in UNIX?,fork(),"CS::OSChapter03, CS::operating-systems"
z9GqJ(JeDj, How many registers are there?,"The registers vary in number and type, depending on the computer architecture. They include accumulators, index registers, stack pointers, and general-purpose registers","CS::OSChapter03, CS::operating-systems"
zF&cy?J|C:, What can be used to terminate a process in Linux and UNIX systems?,exit() system call,"CS::OSChapter03, CS::operating-systems"
goZNd)eUIM,What is an orphan process?,"An orphan process is a computer process whose parent process has finished or terminated, though it remains running itself.","CS::OSChapter03, CS::operating-systems"
]Dy)RU]sl, What is the name of the state of the process that has finished execution?,Terminated,"CS::OSChapter03, CS::operating-systems"
Infxujp{5<, Why may mobile operating systems have to terminate existing processes to reclaim system resources?,resource constraints such as limited memory,"CS::OSChapter03, CS::operating-systems"
"M2<dA<,1m~",What is a zombie process?,"When no parent is waiting for the child to close, the process is a zombie.","CS::OSChapter03, CS::operating-systems"
J@1VqQd~7;, What kind of system allows multiple threads to run in parallel?,multicore,"CS::OSChapter03, CS::operating-systems"
A}WwA)o.D~, How often does the CPU scheduler execute?,at least once every 100 milliseconds,"CS::OSChapter03, CS::operating-systems"
I#i~2egeIj, What does Linux prefer to use instead of the term process?,task,"CS::OSChapter03, CS::operating-systems"
C2@)WM3=/k,What is a pipe?,a pipe is a technique for passing information from one program process to another. Ordinary pipes (not named) are unidirectional,"CS::OSChapter03, CS::operating-systems"
LpEPq~MDmn,What does the long-term scheduler (or job scheduler) do?,Select which processes should be brought into the ready queue (i.e. selects processes form a pool and loads them into memory for execution),"CS::OSChapter03, CS::operating-systems"
q?yBIjWP1~,What is the system call the parent uses to wait for the child to complete? (in UNIX),wait(),"CS::OSChapter03, CS::operating-systems"
gPo-VJ8@$|,What does the short-term scheduler (or CPU scheduler) do?,Select which process should be executed next and allocates CPU. This is sometimes the only scheduler in a system.,"CS::OSChapter03, CS::operating-systems"
"tt{.9b,o|%",What happens during the process state “new”?,The process is being created,"CS::OSChapter03, CS::operating-systems"
Mk]a-MLh%>,What are processes generally identified and managed via?,A process identifier (pid),"CS::OSChapter03, CS::operating-systems"
H@[_tHC[V[,What is the data section in a program?,The global variables,"CS::OSChapter03, CS::operating-systems"
l/>9N#~`AZ,Are named pipes uni- or bidirectional?,Bidirectional,"CS::OSChapter03, CS::operating-systems"
cZ87&.Y(O=,What is the heap section in a program?,Memory dynamically allocated during run time.,"CS::OSChapter03, CS::operating-systems"
kkwTw5A]pA,Are ordinary pipes uni- or bidirectional?,"Unidirectional, the producer writes to one end, the consumer reads from the other end","CS::OSChapter03, CS::operating-systems"
wp)mEIw#yG,What is the program counter?,The value that represents the current activity; next address of the next instruction to be executed.,"CS::OSChapter03, CS::operating-systems"
bWr7B4}}|9,What is the difference between a program and a process?,"A program is a passive entity stored on a disk, a process is active.","CS::OSChapter03, CS::operating-systems"
fH%H/c_fNK,Is non-blocking consídered synchronous or asynchronous?,Asynchronous,"CS::OSChapter03, CS::operating-systems"
"u0l,Jd6/N[",What happens during the process state “waiting”?,The process is waiting for some event to occur,"CS::OSChapter03, CS::operating-systems"
zp85(q;RLA,What happens during the process state “ready”?,The process is waiting to be assigned to a processor,"CS::OSChapter03, CS::operating-systems"
F#hKr*kVLf,What happens during the process state “terminated”?,The process finished execution,"CS::OSChapter03, CS::operating-systems"
A>U`be0b$),What is the process control block?,Something that each process is represented by; many pieces of specific information associated with a specific process,"CS::OSChapter03, CS::operating-systems"
hjhM7F>2XL,What happens during the process state “running”?,The process has instructions which are being executed,"CS::OSChapter03, CS::operating-systems"
cjD%o).%(-,What is the device queue?,A queue of all processes waiting for a particular I/O device,"CS::OSChapter03, CS::operating-systems"
M?Y}4MAD(1,Is blocking considered synchronous or asynchronous?,Synchronous,"CS::OSChapter03, CS::operating-systems"
Q/y6#i>Z{3,What are named pipes?,"Named pipes (aka FIFO) is an extension to ordinary pipes. A named pipe can last longer  than the lifetime of the process, and appears as a file and generally processes attach to it for interprocess communication.","CS::OSChapter03, CS::operating-systems"
GR0sS(PuHC, What does IPC stand for?,interprocess communication,"CS::OSChapter03, CS::operating-systems"
Q(B:qz.v.L,How many processes for one program?,"At least one, but there can be several","CS::OSChapter03, CS::operating-systems"
f>;F>=p6Eh,What does the process scheduler do?,Selects an available process (possibly from a set of several available processes) for program execution on the CPU,"CS::OSChapter03, CS::operating-systems"
JI/znLQCX+, What creates a child process?,a parent,"CS::OSChapter03, CS::operating-systems"
q!KJ}sA0Pf,What is the text section in a program?,The program code,"CS::OSChapter03, CS::operating-systems"
z%R*FSf6H:,When is a process independent?,If it cannot be affected or affect the other processes executing in the system,"CS::OSChapter03, CS::operating-systems"
niqmZE)f@(,"What kind of termination does this describe: If the parent is terminated, so are all the children?",Cascading termination,"CS::OSChapter03, CS::operating-systems"
QPzpwD@Mxy,What is it called if both send and receive are blocking?,Rendezvous,"CS::OSChapter03, CS::operating-systems"
jnr@O@.qdz,List three common ways of mapping user threads to kernel threads,One-to-one: maps one user-level thread to one kernel thread <br/> Many-to-one: maps many user-level threads to one kernel thread <br/> Many-to-many: maps many user-level threads to a smaller or equal number of kernel threads,"CS::OSChapter04, CS::operating-systems"
dZ4U~lz:-$,What is parallelism?,When a system can perform more than one task simultaneously,"CS::OSChapter04, CS::operating-systems"
sv.hzax.=],What are <b>signals</b> used for in UNIX systems?,To notify a process that a particular event has occurred.,"CS::OSChapter04, CS::operating-systems"
"lRClH,uy29",Can you have concurrency without parallelism?,Yes,"CS::OSChapter04, CS::operating-systems"
Q59@I)4Oky, What was designed to provide the illusion of parallelism by rapidly switching between processes?,CPU schedulers,"CS::OSChapter04, CS::operating-systems"
K9t~apa2!t,What is the objective of Amdahl’s Law?,Identifying performance gains from adding additional cores to an application,"CS::OSChapter04, CS::operating-systems"
b/D[N{]m(Q, What does TLS stand for?,thread-local storage,"CS::OSChapter04, CS::operating-systems"
BBeJQDp./3,What are thread pools?,Pools where you create a number of threads where they await work,"CS::OSChapter04, CS::operating-systems"
N8wkJAs<VF,What is the difference between data parallelism and task parallelism?,"Data parallelism distributes subsets of the same data across multiple cores and does the same operation on each, while task parallelism distributes threads across cores, with each thread performing a unique operation. ","CS::OSChapter04, CS::operating-systems"
Hbc5|B~Ja7,What are the different types of parallelism?,Data parallelism and Task parallelism,"CS::OSChapter04, CS::operating-systems"
OB+&6SwU1?,What is the one-to-one multithreading model?,Each user-level thread maps to kernel thread,"CS::OSChapter04, CS::operating-systems"
s^z/q;29UM,What does task parallelism do?,"Distribute threads across cores, each thread performing unique operation","CS::OSChapter04, CS::operating-systems"
tvejz<<C<J,What does data parallelism do?,"Distribute subsets of the same data across multiple cores, same operation on each","CS::OSChapter04, CS::operating-systems"
C-P|S7^AW[,Name three of the benefits of multithreading,"Responsiveness, resource sharing, economy, scalability","CS::OSChapter04, CS::operating-systems"
j](@jL4pS8,What is a UNIX signal?,Signal used in UNIX systems to notify a process that a particular event has occurred,"CS::OSChapter04, CS::operating-systems"
Js@viGgaW2,What is thread cancellation?,The task of terminating a thread before it has completed,"CS::OSChapter04, CS::operating-systems"
s:31SiY}jF,What are pthreads?,The POSIX standard defining an API for thread creation and synchronization,"CS::OSChapter04, CS::operating-systems"
~=PQoo7:v,What is the difference between a lightweight and a heavyweight process?,"Threads are lightweight, programs (aka processes or tasks) are heavyweight","CS::OSChapter04, CS::operating-systems"
"kWuREPB`,6",What are the three multithreading models?,"Many-to-One, One-to-One, Many-to-Many","CS::OSChapter04, CS::operating-systems"
h&Y.si70-C,What is the many-to-one multithreading model?,Many user-level threads mapped to single kernel thread,"CS::OSChapter04, CS::operating-systems"
phyd2p5)O9,Provide at least three challenges when designing programming for multicore systems,"Identifying tasks, balance, data splitting, data dependency","CS::OSChapter04, CS::operating-systems"
e97[q_C)9,What is the many-to-many multithreading model?,Allows many user level thread to be mapped to many kernel threads,"CS::OSChapter04, CS::operating-systems"
z{vUrf=FUK,What is waiting time? (CPU Scheduling),The amount of time a process has been waiting in the ready queue,"CS::OSChapter05, CS::operating-systems"
hJ;M$2gP@/, What is the role of the dispatcher?,the module that gives control of the CPU's core to the process selected by the CPU scheduler,"CS::OSChapter05, CS::operating-systems"
LTmT489s|S,How does priority scheduling work?,"A priority number is associated with each process, and the PCU is allocated the process with the highest priority (the smaller the integer, the higher the priority)","CS::OSChapter05, CS::operating-systems"
z2J8%]/2?p,How does Round Robin work in CPU scheduling?,"Each process gets a small unit of CPU time, and after this time has elapsed the process is pre-empted and added to the end of the ready queue. ","CS::OSChapter05, CS::operating-systems"
x2X3i}hRyb,"What is a problem with priority scheduling, and what is a solution to this problem?","Starvation, low priority processes may never execute. The solution is to implement ageing, where the priority increases as time progresses.","CS::OSChapter05, CS::operating-systems"
D;r!YeHlA9,How do soft real-time systems work?,"Critical real-time tasks have the highest priority, but no guarantee as to when tasks will be scheduled.","CS::OSChapter05, CS::operating-systems"
D<}fVb]HW+,What is response time? (CPU Scheduling),"The amount of time it takes from when a request was submitted until the <b>first</b> response is produced, not output","CS::OSChapter05, CS::operating-systems"
Q+DSV<X!gS, What does NUMA stand for?,non-uniform memory access,"CS::OSChapter05, CS::operating-systems"
GA2OzJ+/0.,What is turnaround time? (CPU Scheduling),Amount of time to execute a particular process,"CS::OSChapter05, CS::operating-systems"
l#E2_RA=`., What is a solution to the problem of indefinite blockage of low-priority processes?,ageing,"CS::OSChapter05, CS::operating-systems"
JaQC^uUgdU,When does the CPU scheduling decisions take place?,"When the CPU switches from running to waiting state, from running to ready state, from waiting to ready or terminates","CS::OSChapter05, CS::operating-systems"
"xIqqv,=iER","Which is optimal, first come first serve or shortest-job-first scheduling?",Shortest-job-first,"CS::OSChapter05, CS::operating-systems"
Cfo>GY^_*z, What is a cache miss?,accessing data that are not in cache memory,"CS::OSChapter05, CS::operating-systems"
vm$3Ugx;*t,What is SMP?,symmetric multiprocessing,"CS::OSChapter05, CS::operating-systems"
"Fg6L%r,kK>", What is required to prevent race conditions when accessing shared kernel data structures?,mutex locks,"CS::OSChapter05, CS::operating-systems"
"EA4n?$=_,G", When is the dispatcher invoked?,during every context switch,"CS::OSChapter05, CS::operating-systems"
sG?;qpj[l-,What is process contention scope?,"Thread library schedules user-level threads to run on an LWP (many-to-one, many-to-many, models)","CS::OSChapter05, CS::operating-systems"
P_#Nrs@;IH,How do hard real-time systems work?,Task must be serviced by its deadline. ,"CS::OSChapter05, CS::operating-systems"
y=X+/anzlo,What is dispatch latency?,The time it takes for the dispatcher to stop one process and start another running. ,"CS::OSChapter05, CS::operating-systems"
pmP<AovKud, What could be used to protect the common ready queue from a race condition?,locking,"CS::OSChapter05, CS::operating-systems"
m6TsiR.W?j,What is I/O burst?,Use of I/O by a process,"CS::OSChapter05, CS::operating-systems"
u8{cJKB:5Y,What is contention scope?,How a user thread is mapped to a kernel thread,"CS::OSChapter05, CS::operating-systems"
"pZtG^,`Bpd",What is CPU burst?,Use of the CPU by a process,"CS::OSChapter05, CS::operating-systems"
es;>%}+1D@,What is CPU-I/O burst cycle?,Process execution is composed of cycles of CPU and I/O bursts sequentially,"CS::OSChapter05, CS::operating-systems"
viC~cK}KOB,What does the dispatcher module do?,Give control of the CPU to the process selected by the short-term scheduler.,"CS::OSChapter05, CS::operating-systems"
f0+>=d&9Xc, The contents of the file /proc/2166/status are what?,list various statistics for the process with pid = 2166,"CS::OSChapter05, CS::operating-systems"
JLV0YE82nb,What is the convoy effect?,Queueing up of other processes while on e big CPU bound process is running with FCFS scheduling,"CS::OSChapter05, CS::operating-systems"
s]B}*kOK/+,What is the goal of CPU scheduling?,Switching the CPU among processes to increase productivity,"CS::OSChapter05, CS::operating-systems"
bu:.V:0hS#,What is a preemptive scheduler?,Processes can be interrupted while they are running in favor of running other processes (everything after windows 95 uses this),"CS::OSChapter05, CS::operating-systems"
maj#HRKN0J,How does earliest deadline first scheduling (EDF) work?,Priorities are assigned according to deadlines.  The deadline must be announced by the process with it becomes runnable.,"CS::OSChapter05, CS::operating-systems"
eBm_]hHnx>,What is a non-preemptive scheduler?,Once the CPU has been allocated to a process the process keeps the CPU until it releases the CPU by terminating or switches to ready state,"CS::OSChapter05, CS::operating-systems"
